Id_censo,Indicadores de renta media,Primera fecha: Total
2807901065,Renta bruta media por hogar,53.118
2807901065,Renta bruta media por persona,27.300
2807901065,Renta neta media por hogar,40.584
2807901065,Renta neta media por persona,20.858
2807901066,Media de la renta por unidad de consumo,20.438
2807901066,Mediana de la renta por unidad de consumo,16.450
2807901066,Renta bruta media por hogar,38.105
2807901066,Renta bruta media por persona,19.006
2807901066,Renta neta media por hogar,30.391
2807901066,Renta neta media por persona,15.159
2807901067,Media de la renta por unidad de consumo,29.705
2807901067,Mediana de la renta por unidad de consumo,20.650
2807901067,Renta bruta media por hogar,57.066
2807901067,Renta bruta media por persona,29.564
2807901067,Renta neta media por hogar,42.300
2807901067,Renta neta media por persona,21.914
2807901068,Media de la renta por unidad de consumo,29.024
2807901068,Mediana de la renta por unidad de consumo,21.350
2807901068,Renta bruta media por hogar,56.987
2807901068,Renta bruta media por persona,27.036
2807901068,Renta neta media por hogar,43.390
2807901068,Renta neta media por persona,20.585
2807901069,Media de la renta por unidad de consumo,25.685
2807901069,Mediana de la renta por unidad de consumo,19.250
2807901069,Renta bruta media por hogar,44.455
2807901069,Renta bruta media por persona,25.167
2807901069,Renta neta media por hogar,34.309
2807901069,Renta neta media por persona,19.423
2807901071,Media de la renta por unidad de consumo,32.204
2807901071,Mediana de la renta por unidad de consumo,24.850
2807901071,Renta bruta media por hogar,62.888
2807901071,Renta bruta media por persona,30.621
2807901071,Renta neta media por hogar,46.725
2807901071,Renta neta media por persona,22.751
2807901072,Media de la renta por unidad de consumo,39.291
2807901072,Mediana de la renta por unidad de consumo,24.150
2807901072,Renta bruta media por hogar,78.030
2807901072,Renta bruta media por persona,38.440
2807901072,Renta neta media por hogar,56.873
2807901072,Renta neta media por persona,28.017
2807901073,Media de la renta por unidad de consumo,52.239
2807901073,Mediana de la renta por unidad de consumo,29.750
2807901073,Renta bruta media por hogar,113.945
2807901073,Renta bruta media por persona,47.029
2807901073,Renta neta media por hogar,75.842
2807901073,Renta neta media por persona,32.242
2807901074,Media de la renta por unidad de consumo,28.311
2807901074,Mediana de la renta por unidad de consumo,20.650
2807901074,Renta bruta media por hogar,51.550
2807901074,Renta bruta media por persona,26.318
2807901074,Renta neta media por hogar,39.728
2807901074,Renta neta media por persona,20.282
2807901075,Media de la renta por unidad de consumo,21.588
2807901075,Mediana de la renta por unidad de consumo,16.450
2807901075,Renta bruta media por hogar,39.217
2807901075,Renta bruta media por persona,20.683
2807901075,Renta neta media por hogar,29.010
2807901075,Renta neta media por persona,15.299
2807901076,Media de la renta por unidad de consumo,22.802
2807901076,Mediana de la renta por unidad de consumo,17.850
2807901076,Renta bruta media por hogar,41.444
2807901076,Renta bruta media por persona,21.092
2807901076,Renta neta media por hogar,32.890
2807901076,Renta neta media por persona,16.739
2807901077,Media de la renta por unidad de consumo,31.515
2807901077,Mediana de la renta por unidad de consumo,24.850
2807901077,Renta bruta media por hogar,60.492
2807901077,Renta bruta media por persona,30.042
2807901077,Renta neta media por hogar,45.647
2807901077,Renta neta media por persona,22.670
2807901079,Media de la renta por unidad de consumo,34.047
2807901079,Mediana de la renta por unidad de consumo,22.050
2807901079,Renta bruta media por hogar,61.983
2807901079,Renta bruta media por persona,32.598
2807901079,Renta neta media por hogar,44.909
2807901079,Renta neta media por persona,23.618
2807901081,Media de la renta por unidad de consumo,24.960
2807901081,Mediana de la renta por unidad de consumo,18.550
2807901081,Renta bruta media por hogar,48.085
2807901081,Renta bruta media por persona,23.854
2807901081,Renta neta media por hogar,37.054
2807901081,Renta neta media por persona,18.382
2807901082,Media de la renta por unidad de consumo,27.678
2807901082,Mediana de la renta por unidad de consumo,20.650
2807901082,Renta bruta media por hogar,52.023
2807901082,Renta bruta media por persona,26.132
2807901082,Renta neta media por hogar,39.198
2807901082,Renta neta media por persona,19.690
2807901084,Media de la renta por unidad de consumo,42.318
2807901084,Mediana de la renta por unidad de consumo,28.350
2807901084,Renta bruta media por hogar,82.431
2807901084,Renta bruta media por persona,41.519
2807901084,Renta neta media por hogar,57.452
2807901084,Renta neta media por persona,28.937
2807901087,Media de la renta por unidad de consumo,47.875
2807901087,Mediana de la renta por unidad de consumo,33.950
2807901087,Renta bruta media por hogar,100.110
2807901087,Renta bruta media por persona,43.646
2807901087,Renta neta media por hogar,73.168
2807901087,Renta neta media por persona,31.900
2807901088,Media de la renta por unidad de consumo,36.906
2807901088,Mediana de la renta por unidad de consumo,26.950
2807901088,Renta bruta media por hogar,68.519
2807901088,Renta bruta media por persona,34.397
2807901088,Renta neta media por hogar,48.769
2807901088,Renta neta media por persona,24.483
2807901089,Media de la renta por unidad de consumo,40.452
2807901089,Mediana de la renta por unidad de consumo,24.850
2807901089,Renta bruta media por hogar,86.639
2807901089,Renta bruta media por persona,44.826
2807901089,Renta neta media por hogar,59.665
2807901089,Renta neta media por persona,30.870
2807901090,Media de la renta por unidad de consumo,28.586
2807901090,Mediana de la renta por unidad de consumo,25.550
2807901090,Renta bruta media por hogar,54.528
2807901090,Renta bruta media por persona,26.531
2807901090,Renta neta media por hogar,41.538
2807901090,Renta neta media por persona,20.211
2807901091,Media de la renta por unidad de consumo,23.637
2807901091,Mediana de la renta por unidad de consumo,18.550
2807901091,Renta bruta media por hogar,44.936
2807901091,Renta bruta media por persona,21.347
2807901091,Renta neta media por hogar,34.968
2807901091,Renta neta media por persona,16.612
2807901092,Media de la renta por unidad de consumo,24.445
2807901092,Mediana de la renta por unidad de consumo,19.950
2807901092,Renta bruta media por hogar,44.028
2807901092,Renta bruta media por persona,23.220
2807901092,Renta neta media por hogar,35.099
2807901092,Renta neta media por persona,18.511
2807901093,Media de la renta por unidad de consumo,23.341
2807901093,Mediana de la renta por unidad de consumo,18.550
2807901093,Renta bruta media por hogar,43.083
2807901093,Renta bruta media por persona,21.756
2807901093,Renta neta media por hogar,34.346
2807901093,Renta neta media por persona,17.344
2807901094,Media de la renta por unidad de consumo,23.440
2807901094,Mediana de la renta por unidad de consumo,19.250
2807901094,Renta bruta media por hogar,42.382
2807901094,Renta bruta media por persona,21.989
2807901094,Renta neta media por hogar,33.682
2807901094,Renta neta media por persona,17.475
2807901095,Media de la renta por unidad de consumo,23.098
2807901095,Mediana de la renta por unidad de consumo,18.550
2807901095,Renta bruta media por hogar,41.656
2807901095,Renta bruta media por persona,21.359
2807901095,Renta neta media por hogar,32.889
2807901095,Renta neta media por persona,16.864
2807901096,Media de la renta por unidad de consumo,23.145
2807901096,Mediana de la renta por unidad de consumo,16.450
2807901096,Renta bruta media por hogar,42.813
2807901096,Renta bruta media por persona,20.651
2807901096,Renta neta media por hogar,33.378
2807901096,Renta neta media por persona,16.100
2807901097,Media de la renta por unidad de consumo,22.186
2807901097,Mediana de la renta por unidad de consumo,18.550
2807901097,Renta bruta media por hogar,39.779
2807901097,Renta bruta media por persona,20.318
2807901097,Renta neta media por hogar,31.906
2807901097,Renta neta media por persona,16.296
2807901098,Media de la renta por unidad de consumo,20.677
2807901098,Mediana de la renta por unidad de consumo,17.850
2807901098,Renta bruta media por hogar,36.815
2807901098,Renta bruta media por persona,19.174
2807901098,Renta neta media por hogar,29.128
2807901098,Renta neta media por persona,15.170
2807901099,Media de la renta por unidad de consumo,21.493
2807901099,Mediana de la renta por unidad de consumo,18.550
2807901099,Renta bruta media por hogar,37.896
2807901099,Renta bruta media por persona,19.766
2807901099,Renta neta media por hogar,30.510
2807901099,Renta neta media por persona,15.914
2807901100,Media de la renta por unidad de consumo,22.759
2807901100,Mediana de la renta por unidad de consumo,18.550
2807901100,Renta bruta media por hogar,39.379
2807901100,Renta bruta media por persona,21.729
2807901100,Renta neta media por hogar,31.056
2807901100,Renta neta media por persona,17.136
2807901101,Media de la renta por unidad de consumo,21.750
2807901101,Mediana de la renta por unidad de consumo,15.750
2807901101,Renta bruta media por hogar,39.346
2807901101,Renta bruta media por persona,20.160
2807901101,Renta neta media por hogar,31.471
2807901101,Renta neta media por persona,16.124
2807901102,Media de la renta por unidad de consumo,22.719
2807901102,Mediana de la renta por unidad de consumo,17.850
2807901102,Renta bruta media por hogar,39.466
2807901102,Renta bruta media por persona,21.159
2807901102,Renta neta media por hogar,31.545
2807901102,Renta neta media por persona,16.912
2807901103,Media de la renta por unidad de consumo,35.454
2807901103,Mediana de la renta por unidad de consumo,26.950
2807901103,Renta bruta media por hogar,67.470
2807901103,Renta bruta media por persona,33.655
2807901103,Renta neta media por hogar,48.424
2807901103,Renta neta media por persona,24.155
2807901104,Media de la renta por unidad de consumo,23.059
2807901104,Mediana de la renta por unidad de consumo,19.950
2807901104,Renta bruta media por hogar,40.264
2807901104,Renta bruta media por persona,21.571
2807901104,Renta neta media por hogar,32.506
2807901104,Renta neta media por persona,17.415
2807901105,Media de la renta por unidad de consumo,26.575
2807901105,Mediana de la renta por unidad de consumo,24.150
2807901105,Renta bruta media por hogar,45.000
2807901105,Renta bruta media por persona,26.135
2807901105,Renta neta media por hogar,34.642
2807901105,Renta neta media por persona,20.120
2807901106,Media de la renta por unidad de consumo,32.087
2807901106,Mediana de la renta por unidad de consumo,26.250
2807901106,Renta bruta media por hogar,61.775
2807901106,Renta bruta media por persona,29.285
2807901106,Renta neta media por hogar,48.108
2807901106,Renta neta media por persona,22.806
2807901107,Media de la renta por unidad de consumo,35.359
2807901107,Mediana de la renta por unidad de consumo,30.450
2807901107,Renta bruta media por hogar,69.896
2807901107,Renta bruta media por persona,33.501
2807901107,Renta neta media por hogar,53.340
2807901107,Renta neta media por persona,25.566
2807901108,Media de la renta por unidad de consumo,29.087
2807901108,Mediana de la renta por unidad de consumo,22.750
2807901108,Renta bruta media por hogar,53.971
2807901108,Renta bruta media por persona,26.032
2807901108,Renta neta media por hogar,42.824
2807901108,Renta neta media por persona,20.656
2807901109,Media de la renta por unidad de consumo,24.085
2807901109,Mediana de la renta por unidad de consumo,19.950
2807901109,Renta bruta media por hogar,43.646
2807901109,Renta bruta media por persona,21.484
2807901109,Renta neta media por hogar,34.818
2807901109,Renta neta media por persona,17.138
2807901110,Media de la renta por unidad de consumo,21.420
2807901110,Mediana de la renta por unidad de consumo,19.250
2807901110,Renta bruta media por hogar,39.737
